Grid	Row Number	Column Letter	Quantitiy	Price	Retail Price	Brand	Description	Material	Tags
2	1	B	2	28.8	48	Halia	Flower Block with Clear CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	C	1	28.8	48	Halia	lacy flowers with clear CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	D	2	22.8	38	Halia	small flowers with clear CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	E	3	28.8	48	Carlo Biagi	flower with clear CZs	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	F	2	28.8	48	Carlo Biagi	crescent moon and CZ stars	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	G	3	28.8	48	Chamilia	chamilia flower, dark pink CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	H	1	40	40	Ohm	sweet pea with pink CZ, "Baby Girl Peapod"	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	I	1	28.8	48	Chiyopia	Flower with Center Pink CZ, October Birthstone	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	J	1	28.8	48	Chiyopia	Flower with Center Red CZ, July Birthstone	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	A	1	28.8	48	Chiyopia	Flower with Center Clear CZ, April Birthstone	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	B	1	28.8	48	Chiyopia	Flower with Center Blue CZ, March Birthstone	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	C	1	34.2	58	Carlo Biagi	pink CZ flower	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	D	1	28.8	48	Carlo Biagi	dragonfly bead, clear & green CZs	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	E	2	35.4	59	Chamilia	butterfly with pink CZs	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	F	1	35.4	58	Carlo Biagi	bell flower with purple CZ dangle	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	G	2	28.8	48	Halia	flowers and leaves with clear CZs	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	H	2	28.8	48	Halia	daisy flowers with clear CZs	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	2	I	3	34.2	57	Moress	pale blue enamel flower with dark swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Enamel, Swarovski
2	2	J	1	34.2	57	Moress	pale pink enamel flower with clear swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Enamel, Swarovski
2	3	A	1	36	60	Moress	stylized flower with red swarovski	Sterling Silver & Swarovski	Nature, Garden, Swarovski
2	3	B	1	36	60	Moress	stylized flower with black swarovski	Sterling Silver & Swarovski	Nature, Garden, Swarovski
2	3	C	1	36	60	Moress	stylized flower with pink swarovski	Sterling Silver & Swarovski	Nature, Garden, Swarovski
2	3	D	1	36	60	Moress	stylized flower with yellow swarovski	Sterling Silver & Swarovski	Nature, Garden, Swarovski
2	3	E	1	36	60	Moress	small flowers with pink swarovski	Sterling Silver & Swarovski	Nature, Garden, Swarovski
2	3	F	1	36	60	Moress	small flowers with red swarovski	Sterling Silver & Swarovski	Nature, Garden, Swarovski
2	3	G	2	36	60	Moress	small flowers with fushia swarovski	Sterling Silver & Swarovski	Nature, Garden, Swarovski
2	3	H	1	21.6	36	Amore & Baci	bird	Sterling Silver	Nature, Animals
2	3	I	1	25.8	43	Zable	enamel rainbow and clouds	Sterling Silver & Enamel	Nature, Enamel
2	3	J	1	21.6	36	Carlo Biagi	eagle	Sterling Silver	Nature, Animals
2	4	A	3	25.8	43	Chamilia	pink enamel zinnia	Sterling Silver & Enamel	Nature, Garden, Enamel
2	4	B	1	25.8	43	Chamilia	burgandy enamel zinnia	Sterling Silver & Enamel	Nature, Garden, Enamel
2	4	C	2	21.6	36	Carlo Biagi	hen	Sterling Silver	Nature, Animals
2	4	D	2	21.6	36	Amore & baci	dove	Sterling Silver	Nature, Animals
2	4	E	1	21.6	36	Biagi	peacock	Sterling Silver	Nature, Animals
2	4	F	1	24	40	Moress	bird	Sterling Silver	Nature, Animals
2	4	G	1	21.6	36	Novo	penguins	Sterling Silver	Nature, Animals
2	4	H	1	21.6	36	Novo	bird	Sterling Silver	Nature, Animals
2	4	I	1	21.6	36	Zable	swan	Sterling Silver	Nature, Animals
2	4	J	2	21.6	36	Zable	owl	Sterling Silver	Nature, Animals
2	5	A	1	36	60	Moress	light blue enamel fern	Sterling Silver & Enamel	Nature, Garden, Enamel
2	5	B	2	25.8	43	Zable	red enamel hibiscus	Sterling Silver & Enamel	Nature, Garden, Enamel
2	5	C	1	36	60	Moress	light green enamel fern	Sterling Silver & Enamel	Nature, Garden, Enamel
2	5	D	1	34.2	57	Moress	pink and purple enamel flowers	Sterling Silver & Enamel	Nature, Garden, Enamel
2	5	E	1	34.2	57	Moress	purple and green enamel flower	Sterling Silver & Enamel	Nature, Garden, Enamel
2	5	F	1	34.2	57	Moress	white enamel flower	Sterling Silver & Enamel	Nature, Garden, Enamel
2	5	G	1	34.2	57	Moress	black enamel with silver flowers	Sterling Silver & Enamel	Nature, Garden, Enamel
2	5	H	1	48	80	Moress	pale green enamel with silver flowers and pink swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	5	I	3	48	80	Moress	pale yellow enamel with silver flowers and yellow swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	5	J	2	48	80	Moress	pale yellow enamel with silver flowers and pink swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	A	1	48	80	Moress	beige enamel with silver flowers and pink swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	B	3	34.2	57	Moress	pale yellow enamel with silver tulips	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	C	1	34.2	57	Moress	pale pink enamel with silver tulips	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	D	2	34.2	57	Moress	turquoise enamel with silver tulip	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	E	4	48	80	Moress	enamel and swarovski daisy	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	F	2	52.8	88	Moress	pink enamel with silver flowers and yellow swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	G	1	52.8	88	Moress	pale blue enamel with silver flowers and clear swarovski	Sterling Silver, Enamel & Swarovski	Nature, Garden, Swarovski
2	6	H	2	28.8	48	Chamilia	celebrations December birthstone, blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	6	I	4	28.8	48	Chamilia	celebrations October birthstone, pink	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	6	J	1	28.8	48	Chamilia	celebrations August birthstone, light green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	A	2	28.8	48	Chamilia	celebrations February birthstone, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	B	1	28.8	48	Chamilia	celebrations July birthstone, red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	C	2	28.8	48	Chamilia	July birthstone ring, red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	D	1	28.8	48	Chamilia	November birthstone ring, champagne	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	E	1	30	30	Ohm	"Seaweed" with Purple CZs	Sterling Silver & Cubic Zirconia	Nature, Sea, Cubic Zirconia
2	7	F	1	30	30	Ohm	"Flame" with Clear CZs	Sterling Silver & Cubic Zirconia	Nature, Cubic Zirconia
2	7	G	1	28.8	48	Chamilia	February birthstone heart, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	H	1	28.8	48	Chamilia	January birthsone heart, dark red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	I	1	28.8	48	Chamilia	March birthstone heart, aqua	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
2	7	J	1	30	30	Ohm	"vines" with Amber CZs	Sterling Silver & Cubic Zirconia	Nature, Garden
3	1	A	5	28.8	48	Halia	January birthstone 4 CZs, dark red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	B	5	28.8	48	Halia	February birthstone 4 CZs, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	C	2	28.8	48	Halia	March birthstone 4 CZs, aqua	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	D	1	28.8	48	Halia	April birthstone 4 CZs, clear	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	E	3	28.8	48	Halia	May birthstone 4 CZs, green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	F	1	28.8	48	Halia	September birthstone 4 CZs, blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	G	4	28.8	48	Halia	November birthstone 4 CZs, champagne	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	H	1	28.8	48	Halia	January birthstone 4 CZs, dark red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	I	1	28.8	48	Halia	March birthstone 4 CZs, aqua	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	1	J	2	28.8	48	Halia	August birthstone 4 CZs, olive green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	A	2	28.8	48	Halia	June birthstone 4 CZs, light purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	B	1	28.8	48	Halia	July birthstone 4 CZs, red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	C	2	28.8	48	Halia	October birthtstone 4 CZs, pink	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	D	1	28.8	48	Halia	November birthstone 4 CZs, yellow	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	E	2	28.8	48	Halia	December birthstone 4 CZs, light blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	F	1	28.8	48	Carlo Biagi	January birthstone eye, dark red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	G	4	28.8	48	Carlo Biagi	February birthstone eye, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	H	2	28.8	48	Carlo Biagi	April birthstone eye, clear	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	I	1	28.8	48	Carlo Biagi	May birthstone eye, green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	2	J	2	28.8	48	Carlo Biagi	June birthstone eye, pearl	Sterling Silver & Faux Pearl	Birthstones, Pearl
3	3	A	3	28.8	48	Carlo Biagi	July birthstone eye, red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	B	1	28.8	48	Carlo Biagi	September birthstone eye, blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	C	2	28.8	48	Carlo Biagi	October birthstone eye, pink	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	D	1	28.8	48	Carlo Biagi	November birthstone eye, yellow	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	E	1	28.8	48	Carlo Biagi	December birthstone eye, light blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	F	1	28.8	48	Carlo Biagi	February birthstone wheel, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	G	5	28.8	48	Carlo Biagi	June birthstone wheel, light purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	H	2	28.8	48	Carlo Biagi	September birthstone wheel, blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	I	4	28.8	48	Carlo Biagi	October birthstone wheel, pink	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	3	J	3	28.8	48	Carlo Biagi	November birthstone wheel, yellow	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	A	2	28.8	48	Carlo Biagi	December birthstone wheel, light blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	B	1	34.2	58	Halia	January birthstone diamonds, red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	C	1	34.2	58	Halia	February birthstone diamonds, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	D	1	34.2	58	Halia	August birthstone diamonds, olive green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	E	3	34.2	58	Halia	October birthstone diamonds, pink	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	F	1	28.8	48	Halia	January birthstone narrow diamonds, red	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	G	1	28.8	48	Halia	March birthstone narrow diamonds, aqua	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	H	1	28.8	48	Halia	August birthstone narrow diamonds,light green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	I	1	28.8	48	Halia	narrow diamonds, orange	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	4	J	1	34.2	58	Halia	February oval birthstone, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	A	2	34.2	58	Halia	March oval birthstone, aqua	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	B	2	34.2	58	Halia	April oval birthstone, clear	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	C	3	34.2	58	Halia	May oval birthstone, green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	D	2	34.2	58	Halia	June oval birthstone, light purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	E	1	34.2	58	Halia	July oval birthstone, fushia	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	F	1	34.2	58	Halia	August oval birthstone, olive green	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	G	2	34.2	58	Halia	September oval birthstone, blue	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	H	1	34.2	58	Halia	October oval birthstone, pink	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	I	2	34.2	58	Halia	November oval birthstone, champagne	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	5	J	2	34.2	58	Halia	April oval birthstone, clear	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	6	A	1	34.2	58	Halia	February oval birthstone, purple	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	6	B	2	34.2	58	Halia	April round birthstone, clear	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	6	C	1	34.2	58	Halia	October round birthstone, pink	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	6	D	2	28.8	48	Halia	Decorative, clear CZs	Sterling Silver & Cubic Zirconia	Decorative, Cubic Zirconia
3	6	E	1	28.8	48	Halia	Decorative, clear CZs	Sterling Silver & Cubic Zirconia	Decorative, Cubic Zirconia
3	6	F	2	28.8	48	Halia	Decorative, pink and clear CZs	Sterling Silver & Cubic Zirconia	Decorative, Cubic Zirconia
3	6	G	1	28.8	48	Halia	pearl dangle	Sterling Silver & Freshwater Pearl	Birthstones, Pearl
3	6	H	1	33	55	Moress	January birthstone, star dangle swarovski, dark red	Sterling Silver & Swarovski	Birthstones, Swarovski
3	6	I	2	33	55	Moress	April birthstone, star dangle swarovski, clear	Sterling Silver & Swarovski	Birthstones, Swarovski
3	6	J	2	33	55	Moress	May birthstone, star dangle swarovski, green	Sterling Silver & Swarovski	Birthstones, Swarovski
3	7	A	2	33	55	Moress	June birthstone, star dangle swarovski, light purple	Sterling Silver & Swarovski	Birthstones, Swarovski
3	7	B	3	33	55	Moress	October birthstone, star dangle swarovski, pink	Sterling Silver & Swarovski	Birthstones, Swarovski
3	7	C	5	33	55	Moress	November birthstone, star dangle swarovski, champagne	Sterling Silver & Swarovski	Birthstones, Swarovski
3	7	D	1	33	55	Moress	September birthstone, star dangle swarovski, blue	Sterling Silver & Swarovski	Birthstones, Swarovski
3	7	E	1	33	55	Moress	silver gift bag with yellow heart dangle swarovski	Sterling Silver & Swarovski	Birthstones, Swarovski
3	7	F	5	60	60	Ohm	January "Abundance" Oval Birthstone, Dark Red CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	7	G	1	60	60	Ohm	March "Abundance" Oval Birthstone, Aqua CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	7	H	1	60	60	Ohm	September "Abundance" Oval Birthstone, Blue CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	7	I	2	60	60	Ohm	November "Abundance" Oval Birthstone, Orange  CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
3	7	J	1	36	60	Moress	decorative swirls, light blue swarovski	Sterling Silver & Swarovski	Decorative, Swarovski
4	1	A	2	36	60	Moress	decorative swirls, clear swarovski	Sterling Silver & Swarovski	Decorative, Swarovski
4	1	B	2	36	60	Moress	decorative swirls, pink swarovski	Sterling Silver & Swarovski	Decorative, Swarovski
4	1	C	2	36	60	Moress	decorative swirls, champagne swarovski	Sterling Silver & Swarovski	Decorative, Swarovski
4	1	D	3	36	60	Zable	January oval birthstone, dark red CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	1	E	1	36	60	Zable	December oval birthstone, light blue CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	1	F	2	36	60	Zable	April oval birthstone, clear CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	1	G	1	36	60	Zable	June oval birthstone, light purple CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	1	H	1	36	60	Zable	October oval birthstone, pink CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	1	I	3	36	60	Zable	August oval birthstone, light green CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	1	J	3	36	60	Zable	November oval birthstone, yellow CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	2	A	1	36	60	Zable	April teardrop birthstone, clear CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	2	B	1	36	60	Zable	October teardrop birthston, pink CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	2	C	1	28.8	48	Zable	Cherries on a stem, CZs and enamel	Sterling Silver & Cubic Zirconia	Food & Beverage, Cubic Zirconia
4	2	D	2	28.8	48	Zable	Decorative clear CZs	Sterling Silver & Cubic Zirconia	Decorative, Cubic Zirconia
4	2	E	1	28.8	48	Zable	flower with clear CZs	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
4	2	F	1	22.8	38	Chamilia	silver ring with clear swarovski	Sterling Silver & Swarovski	Decorative, Swarovski
4	2	G	2	35	35	Ohm	February "Celebration" Round Birthstone, Purple CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	2	H	2	35	35	Ohm	October "Celebration" Round Birthstone, Pink CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	2	I	1	30	30	Ohm	December Round "Swirl" Birthstone, Light Blue CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	2	J	1	30	30	Ohm	October Round "Swirl" Birthstone, Pink CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	3	A	1	30	30	Ohm	April Round "Swirl" Birthstone, Clear CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	3	B	2	30	30	Ohm	July Round "Spinner" Birthstone, Red CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	3	C	1	30	30	Ohm	January Round "Spinner' Birthstone, Dark Red CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	3	D	1	30	30	Ohm	June Round "Spinner" Birthstone, Light Purple CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	3	E	1	30	30	Ohm	"Spinner" with Round Orange CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	3	F	1	30	30	Ohm	March Round "Spinner" Birthstone, Aqua CZs	Sterling Silver & Cubic Zirconia	Birthstones, Cubic Zirconia
4	3	G	4	25.2	42	Chamilia	silver square with fushia swarovski	Sterling Silver & Swarovski	Decorative, Swarovski
4	3	H	1	25.2	42	Chamilia	silver ball with fushia swarovski	Sterling Silver & Swarovski	Decorative, Swarovski
